Date, Quantity (000's), Total Value (Lacs)
2010-09-03, 48744, 924222.92
2010-09-04,1778, 33734.77
2010-09-06, 14424, 273782.72
2010-09-07, 41659, 796904.42
2010-09-08, 44690, 855823.1
2010-09-09, 54327, 1032951.86
2010-09-10, 36215, 683886.94
2010-09-13, 39064, 736822.88
2010-09-14, 62056, 1185324.82
2010-09-15, 42811, 821833.64
2010-09-16, 43361, 831601.02
2010-09-17, 38102, 729961
2010-09-18,2039, 39087.85
2010-09-20, 33063, 632009.07
2010-09-21, 38859, 740981.75
2010-09-22, 49573, 951637.95
2010-09-23, 35056, 673773.32
2010-09-24, 43533, 834976.05
2010-09-25,2608, 50003.06
2010-09-27, 27995, 535498.44
2010-09-28, 65273, 1247199.1
2010-09-29, 41726, 801963.68
2010-09-30, 54596, 1048009.91
2010-10-01, 36400, 698656.7
2010-10-04, 26835, 515901.21
2010-10-05, 46616, 905181.05
2010-10-06, 37729, 738566.92
2010-10-07, 79440, 1555234.63
2010-10-08, 60820, 1181690.51
2010-10-09,3235, 63188.6
2010-10-11, 38224, 749777.46
2010-10-12, 38350, 754505.57
2010-10-13, 45097, 894001.31
2010-10-14, 56722, 1130625.88
2010-10-15, 46144, 916278.82
2010-10-16,1722, 34211.39
2010-10-18, 39210, 775810.88
2010-10-19, 65957, 1300032.36
2010-10-20, 45412, 886769.2
2010-10-21, 51030, 994664.56
2010-10-22, 48830, 945781.32
2010-10-23,3118, 60679.68
2010-10-25, 38294, 748901.75
2010-10-26, 35969, 702504.84
2010-10-27, 40541, 790597.98
2010-10-28, 44455, 866993.36
2010-10-29, 53265, 1047143.65
2010-10-30,4613, 91394.97
2010-11-01, 40119, 794576.09
2010-11-02, 31004, 611534.13
2010-11-03, 56749, 1111873.37
2010-11-04, 52921, 1047701.31
2010-11-05, 11922, 237012.08
2010-11-06,4815, 96282.52
2010-11-08, 47274, 953278.94
2010-11-09, 47661, 975508.74
2010-11-10, 58842, 1191650.35
2010-11-11, 40895, 833367.2
2010-11-12, 60560, 1223348.08
2010-11-13,2380, 47983.41
2010-11-15, 41106, 829348.7
2010-11-16, 56115, 1124246.84
2010-11-17, 26698, 533462.28
2010-11-18, 45497, 911864.15
2010-11-19, 42441, 850560.43
2010-11-20,3533, 71252.9
2010-11-22, 35247, 708982.9
2010-11-23, 62496, 1272269.66
2010-11-24, 42855, 877589.03
2010-11-25, 16720, 340969.4
2010-11-26, 40605, 826010.33
2010-11-27,3571, 72756.27
2010-11-29, 44774, 913318.12
2010-11-30, 55774, 1152411.88
2010-12-01, 45186, 936451.63
2010-12-02, 35068, 724441.47
2010-12-03, 39466, 815262.23
2010-12-04,3596, 74800.34
2010-12-06, 33075, 689028.06
2010-12-07, 47639, 991055.71
2010-12-08, 52311, 1076081.84
2010-12-09, 33962, 698800.44
2010-12-10, 42653, 875021.69
2010-12-11,1912, 39224.75
2010-12-13, 26883, 553743.75
2010-12-14, 31398, 648797.55
2010-12-15, 37009, 763859
2010-12-16, 42598, 873634.52
2010-12-17, 26024, 532866.41
2010-12-18,2268, 46554.07
2010-12-20, 24549, 505735.69
2010-12-21, 26620, 547313.82
2010-12-22, 15936, 327414.63
2010-12-23, 29451, 602343.47
2010-12-24,6241, 127799.36
2010-12-27, 16701, 342749.66
2010-12-28, 28952, 597886.57
2010-12-29, 28640, 594442.55
2010-12-30, 22951, 476245.15
2010-12-31, 13356, 276488.79
2011-01-01,1773, 36801.01
2011-01-03, 28887, 600742.41
2011-01-04, 54961, 1134566.33
2011-01-05, 46140, 944397.32
2011-01-06, 41341, 843483.53
2011-01-07, 52027, 1057634.65
2011-01-08,99, 18337.27
2011-01-10, 29111, 594366.19
2011-01-11, 32867, 671177.26
2011-01-12, 35420, 723392.03
2011-01-13, 43763, 894632.23
2011-01-14, 45345, 920718.54
2011-01-15,2044, 41459.86
2011-01-17, 22019, 446859.34
2011-01-18, 33991, 692171.82
2011-01-19, 31930, 651407.11
2011-01-20, 52044, 1054403.53
2011-01-21, 44846, 900954.08
2011-01-22,2752, 55311.33
2011-01-24, 33559, 674562.23
2011-01-25, 47245, 938130.52
2011-01-27, 56709, 1128269.2
2011-01-28, 68498, 1357581.32
2011-01-29,6282, 125889.8
2011-01-31, 53157, 1065223.13
2011-02-01, 48641, 977829.06
2011-02-02, 32670, 655790.24
2011-02-03, 51815, 1042538.06
2011-02-04, 39783, 807280.07
2011-02-05,1868, 37869.21
2011-02-07, 25469, 514635.8
2011-02-08, 34304, 694690.83
2011-02-09, 32195, 655953.73
2011-02-10, 30669, 625779.06
2011-02-11, 34027, 694973.67
2011-02-12,2130, 43346.08
2011-02-14, 22082, 449207.4
2011-02-15, 27651, 566401.09
2011-02-16, 31636, 648807.86
2011-02-17, 24680, 506409.66
2011-02-18, 36864, 758796.63
2011-02-19,1824, 37520.78
2011-02-21, 28129, 583751.07
2011-02-22, 38500, 800231.1
2011-02-23, 34345, 715897.96
2011-02-24, 37041, 780775.75
2011-02-25, 32571, 681095.46
2011-02-26,2063, 43273
2011-02-28, 36232, 761117.45
2011-03-01, 32764, 687077.62
2011-03-02, 15878, 335946.72
2011-03-03, 49512, 1040504.99
2011-03-04, 35945, 753770.59
2011-03-05,2640, 55751.38
2011-03-07, 38045, 806486.04
2011-03-08, 32321, 681656.24
2011-03-09, 31802, 669268.09
2011-03-10, 40171, 842422.42
2011-03-11, 43438, 908218.35
2011-03-12,2401, 50395.29
2011-03-14, 27193, 571777.44
2011-03-15, 55960, 1161114.68
2011-03-16, 34219, 707917.27
2011-03-17, 30358, 627338.01
2011-03-18, 30318, 632620.01
2011-03-19,2442, 51005.15
2011-03-21, 25582, 537541.99
2011-03-22, 27794, 581880.41
2011-03-23, 27528, 577893.25
2011-03-24, 31802, 667617.49
2011-03-25, 31171, 650784.6
2011-03-26,2178, 45494.11
2011-03-28, 33873, 703239.94
2011-03-29, 27414, 568178.49
2011-03-30, 31171, 647667.32
2011-03-31, 35650, 744675.7
2011-04-01, 36468, 762272.55
2011-04-02,2454, 51137.09
2011-04-04, 19201, 402479.6
2011-04-05, 34433, 724557.35
2011-04-06, 25201, 534114.38
2011-04-07, 28160, 596746.03
2011-04-08, 27412, 583491.14
2011-04-09,4208, 90255.13
2011-04-11, 26009, 556654.82
2011-04-12, 34111, 726517.21
2011-04-13, 22958, 488801.12
2011-04-14, 21849, 468014.64
2011-04-15, 29935, 644419.24
2011-04-18, 44903, 974858.27
2011-04-19, 33530, 731383.57
2011-04-20, 30607, 668399.61
2011-04-21, 24674, 540041.17
2011-04-23,9194, 203198.84
2011-04-25, 39087, 863427.4
2011-04-26, 23546, 515823.87
2011-04-27, 28325, 623077.63
2011-04-28, 36934, 822659.32
2011-04-29, 36362, 814251.1
2011-04-30, 15349, 350147.82
2011-05-02, 49395, 1117128.57
2011-05-03, 48971, 1101208.71
2011-05-04, 44020, 982008.39
2011-05-05, 54321, 1196280.7
2011-05-06, 44631, 971342.02
2011-05-07,2321, 50884.84
2011-05-09, 29741, 654848.77
2011-05-10, 30665, 678761.93
2011-05-11, 41957, 927151.13
2011-05-12, 45998, 1007250.85
2011-05-13, 42080, 927804.36
2011-05-14,3020, 66590.96
2011-05-16, 31628, 696272.9
2011-05-17, 26953, 588477.66
2011-05-18, 27119, 595713.7
2011-05-19, 29518, 646243.93
2011-05-20, 47554, 1047740.19
2011-05-21,2575, 57264.41
2011-05-23, 36260, 807274.4
2011-05-24, 28031, 627655.99
2011-05-25, 30398, 684618.55
2011-05-26, 37490, 841541.95
2011-05-27, 28996, 652493.38
2011-05-28,2674, 60491.54
2011-05-30, 10965, 247581.72
2011-05-31, 30162, 681747.14
2011-06-01, 36764, 831484.12
2011-06-02, 29202, 660071.95
2011-06-03, 37556, 848793.73
2011-06-04,1309, 29600.12
2011-06-06, 24062, 546800.08
2011-06-07, 24244, 549403.43
2011-06-08, 21471, 484341.81
2011-06-09, 20242, 457277.79
2011-06-10, 28305, 638854.98
2011-06-11,49, 19151.46
2011-06-13, 24677, 554603.02
2011-06-14, 26047, 581355.57
2011-06-15, 33122, 742054.01
2011-06-16, 26631, 598981.58
2011-06-17, 24387, 549610.04
2011-06-18,1465, 33203.44
2011-06-20, 26149, 592548.06
2011-06-21, 18186, 412456.15
2011-06-22, 26404, 600268.99
2011-06-23, 45287, 1020894.95
2011-06-24, 40101, 895198.41
2011-06-25,1842, 40911.24
2011-06-27, 36289, 802898.93
2011-06-28, 24499, 542109.01
2011-06-29, 25537, 565488.91
2011-06-30, 35904, 791382.61
2011-07-01, 41041, 892944.25
2011-07-02,2412, 52358.3
2011-07-04,9576, 208287.04
2011-07-05, 31711, 693195.05
2011-07-06, 41721, 922346.74
2011-07-07, 33751, 748486.27
2011-07-08, 44393, 987979.42
2011-07-09,2508, 56114.88
2011-07-11, 42364, 952368.16
2011-07-12, 50239, 1134320.61
2011-07-13, 54836, 1253983.2
2011-07-14, 57214, 1316556.68
2011-07-15, 40921, 939517.3
2011-07-16,3801, 87997.14
2011-07-18, 43667, 1014077.35
2011-07-19, 49107, 1139834.4
2011-07-20, 54015, 1243112.8
2011-07-21, 51682, 1192721.01
2011-07-22, 40234, 927230.56
2011-07-23,1914, 44317.19
2011-07-25, 47080, 1098746.97
2011-07-26, 38415, 890307.94
2011-07-27, 50351, 1169141.51
2011-07-28, 43803, 1013790.71
2011-07-29, 58054, 1354373.49
2011-07-30,5583, 130334.02
2011-08-01, 49903, 1168594.02
2011-08-02, 46869, 1109639.75
2011-08-03, 59307, 1432443.69
2011-08-04, 74872, 1813823.72
2011-08-05, 62218, 1508704.1
2011-08-06, 12785, 314093.01
2011-08-08, 80946, 2029696.62
2011-08-09, 128501, 3311652.42
2011-08-10, 101602, 2637707.97
2011-08-11, 115632, 3016562.6
2011-08-12, 85728, 2205917.28
2011-08-13,3354, 86247.16
2011-08-16, 75285, 1966263.13
2011-08-17, 63954, 1684578.61
2011-08-18, 99933, 2685855.71
2011-08-19, 120188, 3323556.48
2011-08-20, 13337, 371993.98
2011-08-22, 114896, 3214519
2011-08-23, 127691, 3556795.67
2011-08-24, 135058, 3651526.13
2011-08-25, 149034, 3866524.76
2011-08-26, 115584, 3086541.24
2011-08-27, 16960, 469297.95
2011-08-29, 89102, 2403345.51
2011-08-30, 84853, 2299801.39
2011-08-31, 49515, 1347082.03
2011-09-01, 33026, 897920.41
2011-09-02, 80105, 2219360.13
2011-09-03, 15635, 435155.38
2011-09-05, 76554, 2161058.94
2011-09-06, 157361, 4454249.73
2011-09-07, 127225, 3479992.1
2011-09-08, 89852, 2489190.79
2011-09-09, 143969, 4035781.77
2011-09-10,6677, 187879.9
2011-09-12, 107909, 3028485.34
2011-09-13, 90421, 2532112.36
2011-09-14, 79743, 2250457.59
2011-09-15, 103027, 2857564.94
2011-09-16, 84630, 2326444.47
2011-09-17,5408, 150213.48
2011-09-19, 83367, 2333776.41
2011-09-20, 89435, 2492855.25
2011-09-21, 76030, 2138394.13
2011-09-22, 100280, 2802016.14
2011-09-23, 119915, 3262313.78
2011-09-24, 12399, 330551.1
2011-09-26, 134882, 3478472.89
2011-09-27, 74543, 1970299.07
2011-09-28, 77313, 2018429.11
2011-09-29, 76426, 1969535.02
2011-09-30, 63867, 1662427.76
2011-10-01,4986, 130667.17
2011-10-03, 45426, 1210402.72
2011-10-04, 70228, 1866310.25
2011-10-05, 63599, 1661455.66
2011-10-06, 27984, 739872.39
2011-10-07, 46053, 1218997.76
2011-10-08,2172, 57194.83
2011-10-10, 38006, 1010288.9
2011-10-11, 42460, 1136231.32
2011-10-12, 44429, 1193988.81
2011-10-13, 40989, 1096179.9
2011-10-14, 41293, 1106112.51
2011-10-15,1943, 52242.01
2011-10-17, 41661, 1118800.02
2011-10-18, 64335, 1707928.84
2011-10-19, 45843, 1216779.4
2011-10-20, 60252, 1585882.62
2011-10-21, 45172, 1202248.79
2011-10-22,2658, 71119.51
2011-10-24, 38812, 1041254
2011-10-25, 55230, 1492107.96
2011-10-26, 15803, 435081.97
2011-10-27, 49821, 1371640.44
2011-10-28, 37970, 1048882.79
2011-10-29,1200, 33117.61
2011-10-31, 39483, 1077179.59
2011-11-01, 62716, 1714635.23
2011-11-02, 49620, 1371989.71
2011-11-03, 61764, 1717789.57
2011-11-04, 38918, 1088354.62
2011-11-05,1471, 41091.31
2011-11-07, 32078, 907611.91
2011-11-08, 50173, 1436637.9
2011-11-09, 66375, 1919910.83
2011-11-10, 45445, 1304283.67
2011-11-11, 41182, 1183497.45
2011-11-12,2054, 59454.58
2011-11-14, 37926, 1099353.35
2011-11-15, 54414, 1580366.3
2011-11-16, 51380, 1492046.24
2011-11-17, 66154, 1901449.44
2011-11-18, 51073, 1462419.93
2011-11-19,1718, 49362.4
2011-11-21, 63281, 1814859.67
2011-11-22, 47055, 1349883.09
2011-11-23, 55731, 1597703.79
2011-11-24, 22980, 657501.35
2011-11-25, 52823, 1503273.82
2011-11-26,2234, 63587.14
2011-11-28, 46244, 1331112.55
2011-11-29, 43477, 1251146.52
2011-11-30, 75215, 2188813.77
2011-12-01, 37582, 1099342.34
2011-12-02, 33186, 969268.93
2011-12-03,1209, 35273.64
2011-12-05, 34771, 1013555.12
2011-12-06, 38772, 1119690.56
2011-12-07, 40824, 1190236.04
2011-12-08, 58036, 1696017.91
2011-12-09, 39078, 1138698.06
2011-12-10,1653, 48126.73
2011-12-12, 52685, 1521317.95
2011-12-13, 46062, 1331534.5
2011-12-14, 82347, 2343782.59
2011-12-15, 86208, 2390382.16
2011-12-16, 58791, 1613607.9
2011-12-17,3424, 94604.71
2011-12-19, 43212, 1194375.72
2011-12-20, 37967, 1055954.34
2011-12-21, 53023, 1480226.09
2011-12-22, 43715, 1211628.8
2011-12-23, 24183, 671800.69
2011-12-24,1327, 36902.04
2011-12-26,3625, 100699.5
2011-12-27, 19930, 551061.89
2011-12-28, 44707, 1229884.27
2011-12-29, 76366, 2051531.65
2011-12-30, 54487, 1484862.81
2011-12-31,2529, 69199.51
2012-01-02,6783, 185593.94
2012-01-03, 56177, 1552821.21
2012-01-04, 65624, 1820047.01
2012-01-05, 67421, 1870750.26
2012-01-06, 58517, 1628756.41
2012-01-07,1499, 41670.05
2012-01-09, 41352, 1144108.77
2012-01-10, 52158, 1438070.33
2012-01-11, 39051, 1080449.61
2012-01-12, 37206, 1032716.38
2012-01-13, 49861, 1371495.44
2012-01-14,2526, 69597.71
2012-01-16, 23523, 647864.07
2012-01-17, 52702, 1459429.49
2012-01-18, 51248, 1407942.89
2012-01-19, 42182, 1158620.46
2012-01-20, 47252, 1293696.29
2012-01-21,2750, 75750.91
2012-01-23, 36459, 1004520.61
2012-01-24, 32976, 905832.37
2012-01-25, 49224, 1348274
2012-01-27, 53259, 1490545.52
2012-01-28,2748, 77198.7
2012-01-30, 43516, 1224256.03
2012-01-31, 53570, 1520220.23
2012-02-01, 36172, 1029001.75
2012-02-02, 39009, 1109183.6
2012-02-03, 57177, 1615786.82
2012-02-04,4482, 125020.77
2012-02-06, 37983, 1061048.29
2012-02-07, 51610, 1449920.23
2012-02-08, 42158, 1194793.48
2012-02-09, 43395, 1231325.74
2012-02-10, 42969, 1212701.65
2012-02-11,1394, 39408.13
2012-02-13, 36752, 1034134.17
2012-02-14, 40868, 1147912.23
2012-02-15, 36368, 1024957.99
2012-02-16, 36042, 1014099.96
2012-02-17, 27760, 780994.69
2012-02-18,1187, 33356.07
2012-02-20,6334, 178350.29
2012-02-21, 39149, 1108686.08
2012-02-22, 36796, 1049846.22
2012-02-23, 41702, 1202599.75
2012-02-24, 38813, 1115662.46
2012-02-25,1640, 47051.59
2012-02-27, 35145, 1010101.71
2012-02-28, 38358, 1105808.03
2012-02-29, 80187, 2280014.67
2012-03-01, 55459, 1547438.61
2012-03-02, 34426, 964486.11
2012-03-03,1487, 41697.29
2012-03-05, 39427, 1103738.92
2012-03-06, 49097, 1371578.38
2012-03-07, 33523, 934715.37
2012-03-08, 16388, 458471.1
2012-03-09, 56224, 1567804.83
2012-03-10,1415, 39646.84
2012-03-12, 36958, 1035883.54
2012-03-13, 39821, 1110657.36
2012-03-14, 65405, 1804734.53
2012-03-15, 41877, 1153619.62
2012-03-16, 66677, 1857386.79
2012-03-17,1696, 47387.7
2012-03-19, 29357, 818661.1
2012-03-20, 34094, 949856.71
2012-03-21, 32565, 909318.42
2012-03-22, 36937, 1030396.7
2012-03-23, 29070, 815481.53
2012-03-24,1486, 41930.39
2012-03-26, 34556, 978759.85
2012-03-27, 33794, 959958.34
2012-03-28, 32367, 916811.77
2012-03-29, 31362, 887582.85
2012-03-30, 26974, 764388.45
2012-03-31,7366, 208344.97
2012-04-02, 27345, 777960.73
2012-04-03, 23630, 673395.91
2012-04-04, 44414, 1247480.02
2012-04-05, 12619, 354446.3
2012-04-07,2895, 81631.16
2012-04-09, 24282, 688259.95
2012-04-10, 38272, 1089511.71
2012-04-11, 26175, 749178.48
2012-04-12, 30077, 861771.42
2012-04-13, 36656, 1052881.58
2012-04-16, 30323, 865936.65
2012-04-17, 37569, 1070639.13
2012-04-18, 22412, 639582.62
2012-04-19, 38923, 1114606.51
2012-04-20, 24420, 699970.9
2012-04-21,1501, 43079.62
2012-04-23, 31631, 908264.97
2012-04-24, 28272, 816803.08
2012-04-25, 41945, 1207721.97
2012-04-26, 29243, 846898.53
2012-04-27, 23855, 693705.37
2012-04-28,1423, 41446.72
2012-04-30, 29696, 865119.72
2012-05-01, 18937, 553189.4
2012-05-02, 30889, 901854.63
2012-05-03, 33384, 974796.14
2012-05-04, 42932, 1252690.37
2012-05-05,1010, 29520.7
2012-05-07, 37512, 1087980.27
2012-05-08, 53003, 1524656.9
2012-05-09, 47449, 1356026.61
2012-05-10, 35861, 1020721.65
2012-05-11, 36974, 1049863.4
2012-05-12,1837, 52165.5
2012-05-14, 39975, 1130099.07
2012-05-15, 39591, 1113236.3
2012-05-16, 57168, 1602371.59
2012-05-17, 57081, 1618812.86
2012-05-18, 52203, 1506450.49
2012-05-19,3099, 90054.21
2012-05-21, 36778, 1070121.58
2012-05-22, 50268, 1461416.16
2012-05-23, 56849, 1648066.2
2012-05-24, 50127, 1456275.58
2012-05-25, 37055, 1069704.66
2012-05-26,1865, 54128.05
2012-05-28, 20571, 597275.56
2012-05-29, 51964, 1512126.63
2012-05-30, 64440, 1873111.27
2012-05-31, 60217, 1765461.15
2012-06-01, 82375, 2427438.85
2012-06-02,4957, 149190.48
2012-06-04, 36080, 1082200.21
2012-06-05, 31383, 942924.14
2012-06-06, 48034, 1450279.11
2012-06-07, 77742, 2306011.27
2012-06-08, 41631, 1222653.66
2012-06-09,1911, 56529.05
2012-06-11, 38120, 1131312.19
2012-06-12, 47552, 1420148.38
2012-06-13, 43568, 1309377.37
2012-06-14, 43015, 1296562.95
2012-06-15, 33806, 1019497.11
2012-06-16,1643, 49545.28
2012-06-18, 50014, 1509426.45
2012-06-19, 38789, 1176363.02
2012-06-20, 61049, 1842595.63
2012-06-21, 58004, 1741167.94
2012-06-22, 40199, 1202538.18
2012-06-23,2196, 65915.89
2012-06-25, 47218, 1413517.17
2012-06-26, 35310, 1061602.2
2012-06-27, 34274, 1027854.77
2012-06-28, 46010, 1372749.76
2012-06-29, 51117, 1515395.97
2012-06-30,2318, 68861.68
2012-07-02, 33008, 979596.62
2012-07-03, 40691, 1202887.93
2012-07-04, 26277, 776742.49
2012-07-05, 54649, 1624551.04
2012-07-06, 54883, 1628419.91
2012-07-07,1254, 37168.45
2012-07-09, 26923, 798015.7
2012-07-10, 50649, 1497003.52
2012-07-11, 47782, 1400021.26
2012-07-12, 48396, 1415826.88
2012-07-13, 39383, 1153739.68
2012-07-14,1382, 40510.22
2012-07-16, 34438, 1008535.81
2012-07-17, 50427, 1478305.34
2012-07-18, 43063, 1259432.43
2012-07-19, 40020, 1170622.1
2012-07-20, 34174, 999658.04
2012-07-21,1487, 43634.38
2012-07-23, 43762, 1286940.7
2012-07-24, 39412, 1164199.82
2012-07-25, 51585, 1537625.51
2012-07-26, 46561, 1390475.84
2012-07-27, 43143, 1290038.06
2012-07-28,1889, 56583.69
2012-07-30, 27059, 809847.31
2012-07-31, 46668, 1405146.69
2012-08-01, 44331, 1330935.33
2012-08-02, 40147, 1206335.9
2012-08-03, 37201, 1113402.02
2012-08-04,1052, 31451.94
2012-08-06, 23914, 716535.64
2012-08-07, 36112, 1079397.92
2012-08-08, 31019, 926257.06
2012-08-09, 23099, 691899.3
2012-08-10, 32906, 987586.23
2012-08-11,1136, 34129.21
2012-08-13, 28505, 859279.38
2012-08-14, 34699, 1043085.31
2012-08-16, 30154, 907897.34
2012-08-17, 27059, 816216
2012-08-18,42, 28426.5
2012-08-20, 12782, 385859.67
2012-08-21, 29677, 898068.8
2012-08-22, 32530, 988970.38
2012-08-23, 47986, 1473729.9
2012-08-24, 33294, 1026582.35
2012-08-25,3302, 102229.7
2012-08-27, 31176, 968436.17
2012-08-28, 37271, 1154004.83
2012-08-29, 35808, 1107190.3
2012-08-30, 29553, 911021.87
2012-08-31, 57484, 1777715.5
2012-09-01,6593, 206905.75
2012-09-03, 28151, 881324.69
2012-09-04, 41723, 1311146.03
2012-09-05, 36153, 1139177.53
2012-09-06, 66691, 2112513.48
2012-09-07, 69624, 2205705.91
2012-09-08,4873, 155712.72
2012-09-10, 33972, 1086333.34
2012-09-11, 26636, 850341.13
2012-09-12, 59389, 1899255.91
2012-09-13, 65812, 2109100.36
2012-09-14, 60913, 1956461.14
2012-09-15,2261, 72161.9
2012-09-17, 31919, 1017320.57
2012-09-18, 48626, 1546726.91
2012-09-19, 19375, 620935.98
2012-09-20, 35076, 1120022.32
2012-09-21, 59070, 1874332.25
2012-09-22,2492, 78631.54
2012-09-24, 42590, 1338101.13
2012-09-25, 33527, 1056208.49
2012-09-26, 49393, 1551675.32
2012-09-27, 50456, 1580075.56
2012-09-28, 44155, 1385856.64
2012-09-29,9211, 288997.33
2012-10-01, 50822, 1596424.75
2012-10-03, 32083, 1005911.68
2012-10-04, 37412, 1167506.38
2012-10-05, 43857, 1368177.69
2012-10-06,1406, 43819.72
2012-10-08, 30547, 954115.97
2012-10-09, 36471, 1143720.38
2012-10-10, 37938, 1192481.33
2012-10-11, 35908, 1127160.9
2012-10-12, 35315, 1107211.13
2012-10-13,1423, 44520.79
2012-10-15, 38983, 1212308.91
2012-10-16, 28784, 891891.57
2012-10-17, 28881, 898664.91
2012-10-18, 35316, 1104212.77
2012-10-19, 35873, 1124745.28
2012-10-20,1219, 38144.34
2012-10-22, 33153, 1030887.71
2012-10-23, 31623, 979788.38
2012-10-24, 14885, 460558.64
2012-10-25, 24645, 762244
2012-10-26, 20832, 645942.28
2012-10-27,1555, 48262.84
2012-10-29, 23311, 725023.6
2012-10-30, 28365, 882077.85
2012-10-31, 30932, 962596.83
2012-11-01, 34964, 1086189.78
2012-11-02, 56525, 1735286.24
2012-11-03,3726, 113759.37
2012-11-05, 42011, 1291334.19
2012-11-06, 45022, 1397858.66
2012-11-07, 63745, 1995417.55
2012-11-08, 35689, 1117663.09
2012-11-09, 44739, 1415334.2
2012-11-10,2289, 72511.86
2012-11-12, 36768, 1171420.46
2012-11-13,9246, 294124.09
2012-11-14, 22557, 715245.87
2012-11-15, 38227, 1206522.91
2012-11-16, 36466, 1151314.08
2012-11-17,1424, 45134.81
2012-11-19, 26563, 842406.84
2012-11-20, 34590, 1100798.84
2012-11-21, 26792, 852043.9
2012-11-22, 15306, 487960.96
2012-11-23, 48758, 1566823.01
2012-11-24,2845, 92152.94
2012-11-26, 41263, 1339317.66
2012-11-27, 39506, 1279613.42
2012-11-28, 42365, 1358525.15
2012-11-29, 60528, 1922487.38
2012-11-30, 57749, 1823941.31
2012-12-01,6001, 188479.32
2012-12-03, 35424, 1122568
2012-12-04, 44652, 1407639.39
2012-12-05, 42431, 1328822.82
2012-12-06, 57779, 1797468.03
2012-12-07, 47079, 1470333.63
2012-12-08,1821, 57053.25
2012-12-10, 27552, 867202.79
2012-12-11, 27306, 857239.76
2012-12-12, 40660, 1277396.36
2012-12-13, 41150, 1283623.76
2012-12-14, 27423, 856330.21
2012-12-15,1423, 44418.93
2012-12-17, 34412, 1076145.29
2012-12-18, 52202, 1635912.95
2012-12-19, 54706, 1690758.44
2012-12-20, 54613, 1678245.35
2012-12-21, 49761, 1529756.75
2012-12-22,1749, 54106.91
2012-12-24, 19224, 593533.22
2012-12-26, 25219, 775175.2
2012-12-27, 29504, 906886.21
2012-12-28, 24835, 763363.91
2012-12-29,1805, 55527.51
2012-12-31, 29117, 896805.75
2013-01-01,7527, 232794.57
2013-01-02, 54325, 1686874.21
2013-01-03, 32858, 1021779.81
2013-01-04, 49429, 1521428.8
2013-01-05,2898, 89744.97
2013-01-07, 37672, 1167532.07
2013-01-08, 31994, 990337.94
2013-01-09, 34895, 1079328.5
2013-01-10, 36457, 1125732.59
2013-01-11, 39385, 1216828
2013-01-12,1720, 53133.41
2013-01-14, 26662, 822117.65
2013-01-15, 33463, 1033925.72
2013-01-16, 27278, 844389.13
2013-01-17, 55760, 1715715.51
2013-01-18, 34229, 1051188.34
2013-01-19,2522, 77414.08
2013-01-21, 49756, 1533830.12
2013-01-22, 33751, 1041111.09
2013-01-23, 32396, 998552.03
2013-01-24, 41585, 1274915.49
2013-01-25, 32881, 1001709.14
2013-01-28, 38825, 1182698.75
2013-01-29, 39807, 1211782.62
2013-01-30, 60348, 1834947.63
2013-01-31, 64551, 1960985.05
2013-02-01, 50752, 1550181.81
2013-02-02,2813, 85686.6
2013-02-04, 33547, 1026863.93
2013-02-05, 42759, 1313065.52
2013-02-06, 31746, 973668.57
2013-02-07, 47367, 1457486.77
2013-02-08, 26636, 820333.53
2013-02-09,80, 30207.5
2013-02-11, 36673, 1126168.89
2013-02-12, 35053, 1072307.9
2013-02-13, 27169, 830892.5
2013-02-14, 35804, 1093835.13
2013-02-15, 51016, 1545849.23
2013-02-16,1590, 48060.34
2013-02-18, 21199, 640848.9
2013-02-19, 30581, 921778.4
2013-02-20, 54871, 1634178.1
2013-02-21, 64385, 1903090.87
2013-02-22, 38481, 1139696.07
2013-02-23,2383, 70646.59
2013-02-25, 31105, 921132.04
2013-02-26, 59229, 1767930.25
2013-02-27, 40542, 1211900.11
2013-02-28, 58296, 1733253.17
2013-03-01, 55184, 1637652.3
2013-03-02,1470, 43784.85
2013-03-04, 29012, 861546.88
2013-03-05, 40610, 1204850.07
2013-03-06, 44580, 1319013.31
2013-03-07, 44340, 1309446.11
2013-03-08, 53188, 1560053.45
2013-03-09,1095, 32212.24
2013-03-11, 27470, 807502.03
2013-03-12, 37593, 1107401.39
2013-03-13, 40218, 1187852.84
2013-03-14, 45360, 1334824.4
2013-03-15, 29023, 853395.97
2013-03-16,1299, 38250.85
2013-03-18, 50987, 1508899.35
2013-03-19, 43856, 1304325.89
2013-03-20, 31544, 940833.22
2013-03-21, 34123, 1016094.17
2013-03-22, 28308, 843205.6
2013-03-23,1319, 39365.11
2013-03-25, 49047, 1453195.45
2013-03-26, 26500, 784933.72
2013-03-27, 15848, 470870.04
2013-03-28, 31956, 951346.69
2013-03-30, 14582, 432982.42
2013-04-01, 26754, 798981.83
2013-04-02, 36136, 1077213.48
2013-04-03, 41452, 1219701.81
2013-04-04, 43244, 1266162.24
2013-04-05, 41093, 1213122.47
2013-04-06,2052, 61120.14
2013-04-08, 25589, 757904.32
2013-04-09, 31939, 945412.14
2013-04-10, 47412, 1397448
2013-04-11, 40413, 1179420.74
2013-04-12, 80103, 2298723.74
2013-04-13,9692, 270348.02
2013-04-15, 151257, 4002976.04
2013-04-16, 88523, 2279258.39
2013-04-17, 57623, 1478762.56
2013-04-18, 58755, 1507321.44
2013-04-19, 24827, 642885.86
2013-04-20,5673, 147579.89
