Date, Quantity (000's), Total Value (Lacs)
2008-08-07, 61294, 743312.65
2008-08-08, 66133, 786710.73
2008-08-09,1828, 21636.04
2008-08-11, 79571, 933047.93
2008-08-12, 78855, 894211.02
2008-08-13, 70043, 805927.74
2008-08-14, 72070, 836215.1
2008-08-16,9055, 101559.98
2008-08-18, 66483, 757919.51
2008-08-19, 70424, 806755.85
2008-08-20, 70753, 823443.51
2008-08-21, 66116, 776543.65
2008-08-22, 54432, 637907.14
2008-08-23,2095, 24494.01
2008-08-25, 52234, 611662.87
2008-08-26, 67318, 787626.31
2008-08-27, 54372, 641716.18
2008-08-28, 59961, 711318.25
2008-08-29, 41631, 494405.85
2008-08-30,1732, 20601.94
2008-09-01, 24234, 287640.28
2008-09-02, 74949, 872049.83
2008-09-03, 37796, 439350.92
2008-09-04, 58351, 679643.14
2008-09-05, 80735, 940273.7
2008-09-06,2045, 23864.87
2008-09-08, 66228, 775012.77
2008-09-09, 79398, 918848.09
2008-09-10, 75632, 864780.11
2008-09-11, 76848, 864723.84
2008-09-12, 48815, 553646.24
2008-09-13,3424, 39077.29
2008-09-15, 82749, 959659.4
2008-09-16, 81886, 961313.85
2008-09-17, 107495, 1297934.29
2008-09-18, 111368, 1452613.85
2008-09-19, 91602, 1152738.17
2008-09-20,3151, 40141.08
2008-09-22, 71403, 922855.2
2008-09-23, 68315, 895409.84
2008-09-24, 65464, 858368.19
2008-09-25, 69728, 910416.75
2008-09-26, 85869, 1129914.86
2008-09-27,3523, 46365.16
2008-09-29, 90588, 1205055.73
2008-09-30, 64443, 865232.05
2008-10-01, 48919, 648385.25
2008-10-03, 60178, 770844.27
2008-10-04,1876, 24031.71
2008-10-06, 67616, 887634.72
2008-10-07, 63061, 847889.71
2008-10-08, 74925, 1035504.96
2008-10-09, 23006, 313452.49
2008-10-10, 78599, 1093098.63
2008-10-11,3933, 52731.43
2008-10-13, 54881, 723083.36
2008-10-14, 54410, 711056.32
2008-10-15, 49056, 647833.38
2008-10-16, 59034, 763431.55
2008-10-17, 52203, 657299.86
2008-10-18,1681, 21118.36
2008-10-20, 42438, 537370.52
2008-10-21, 52218, 650366.58
2008-10-22, 57213, 693082.37
2008-10-23, 69419, 813582.06
2008-10-24, 69231, 801911.11
2008-10-25,2428, 28894.96
2008-10-27, 59654, 702348.77
2008-10-28, 10179, 122272.24
2008-10-29, 44164, 537484.41
2008-10-30, 34317, 414024.56
2008-10-31, 47189, 553202.58
2008-11-01,2250, 26383.47
2008-11-03, 39562, 461039.3
2008-11-04, 53991, 627259.89
2008-11-05, 59223, 689999.57
2008-11-06, 62581, 724846.21
2008-11-07, 44987, 518866.03
2008-11-08,1868, 21584.12
2008-11-10, 49727, 580606.4
2008-11-11, 43786, 506940.63
2008-11-12, 53394, 621958.32
2008-11-13, 37274, 431732.17
2008-11-14, 51604, 604196.81
2008-11-15,2670, 31486.76
2008-11-17, 44489, 524823.78
2008-11-18, 38201, 453186.28
2008-11-19, 59148, 709317.73
2008-11-20, 57890, 699033.6
2008-11-21, 73796, 918158.07
2008-11-22,5678, 73202.04
2008-11-24, 68859, 898995.51
2008-11-25, 69022, 901755.64
2008-11-26, 52568, 682642.81
2008-11-28, 37796, 492587.23
2008-11-29,8571, 112426.08
2008-12-01, 64383, 826109.05
2008-12-02, 57423, 721813.5
2008-12-03, 54286, 679665.19
2008-12-04, 61266, 761099.93
2008-12-05, 62371, 759706.92
2008-12-06,3354, 40610.43
2008-12-08, 51679, 636523.09
2008-12-09, 35356, 434017.81
2008-12-10, 67112, 843173.08
2008-12-11, 60957, 780484.12
2008-12-12, 55388, 706751.11
2008-12-13,1347, 17252.99
2008-12-15, 48744, 627636.16
2008-12-16, 41386, 533460.46
2008-12-17, 68350, 897237.72
2008-12-18, 63095, 822859.92
2008-12-19, 48940, 624186.04
2008-12-20,1734, 22083.78
2008-12-22, 46679, 605711.01
2008-12-23, 47446, 622317.31
2008-12-24, 39193, 509560.99
2008-12-26, 30352, 398966.71
2008-12-27,3850, 51596.59
2008-12-29, 53868, 737645.79
2008-12-30, 50768, 684317.15
2008-12-31, 39293, 528726.37
2009-01-01,9671, 132652.86
2009-01-02, 48062, 653328.45
2009-01-03,1908, 25861.09
2009-01-05, 63008, 841590.06
2009-01-06, 67352, 889603.06
2009-01-07, 72396, 968712.73
2009-01-08, 64150, 856290.77
2009-01-09, 76798, 1022909.34
2009-01-10,2333, 31104.5
2009-01-12, 75206, 986579.93
2009-01-13, 61448, 795708.04
2009-01-14, 50353, 650118
2009-01-15, 61163, 783959.69
2009-01-16, 58560, 759968.82
2009-01-17,4011, 52781.68
2009-01-19, 29463, 386282.1
2009-01-20, 98650, 1317056.17
2009-01-21, 69570, 937845.56
2009-01-22, 63726, 858935.15
2009-01-23, 90171, 1244862.45
2009-01-24,7320, 103156.03
2009-01-27, 60931, 857966.34
2009-01-28, 64582, 901249.94
2009-01-29, 78594, 1093254.19
2009-01-30, 92505, 1325709.56
2009-01-31,9350, 134873.62
2009-02-02, 64555, 920334.94
2009-02-03, 74623, 1051735.55
2009-02-04, 56320, 791933.6
2009-02-05, 69081, 985033.67
2009-02-06, 63666, 905396.31
2009-02-07,2303, 32665.43
2009-02-09, 54935, 770361.4
2009-02-10, 63540, 896924.27
2009-02-11, 82577, 1194578.05
2009-02-12, 69864, 1028127.79
2009-02-13, 50794, 742270.54
2009-02-14,1546, 22620.94
2009-02-16, 25264, 370804.69
2009-02-17, 85865, 1309642.6
2009-02-18, 82913, 1285433.9
2009-02-19, 67597, 1051225.29
2009-02-20, 78489, 1237143.36
2009-02-21,4050, 64223.56
2009-02-23, 44547, 701958.26
2009-02-24, 79415, 1245262.31
